name,city,lan,lon
"Abbeville Chris Crusta Memorial","Abbeville",97.57608329,-92.08415167
"Abbeville Municipal","Abbeville",60.01677831,-85.23882222
"Atmore Municipal","Atmore",1.62152831,-87.44675972
"Benton County","Camden",1.12269436,-88.12328833
"Bibb County","Centreville",93.67905632,-87.08888306
"Bowie Municipal","Bowie",60.16666733,-97.77556
"Brenham Municipal","Brenham",21.93,-96.37427778
"Brookneal/Campbell County","Brookneal",14.17222237,-79.01638889
"Butler-Choctaw County","Butler",11.93130632,-88.1274625
"Byerley","Lake Providence",82.58791732,-91.187665
"Calaveras Co-Maury Rasmussen","San Andreas",14.61163938,-120.6481733
"Calhoun County","Pittsboro",93.01122233,-89.34285194
"Capitol","Brookfield",8.75143,-88.17786917
"Carthage-Leake County","Carthage",76.12461132,-89.53007139
"Central City Municipal","Central City",11.66805641,-98.05033639
"Charleston Municipal","Charleston",99.15022233,-90.078145
"Clarion Cty","Clarion",22.58122241,-79.44098972
"Clayton Municipal","Clayton",88.32991731,-85.48491361
"Col. Dyke","Bethel",42.50644444,-70.80784778
"Columbia-Marion County","Columbia",29.70080631,-89.81282944
"Columbiana County","East Liverpool",67.3312784,-80.64140639
"Concordia Parish","Vidalia",56.68327831,-91.50011889
"Corning Municipal","Corning",94.37680639,-122.1713781
"Crownpoint","Crownpoint",71.76588935,-108.2015961
"Cynthiana-Harrison County","Cynthiana",36.67416738,-84.28410056
"Dacy","Chicago/Harvard",40.41855642,-88.63343222
"David G Joyce","Winnfield",96.36622231,-92.66026056
"Dekalb County","Auburn",30.71666741,-85.06433333
"Dorothy Scott","Oroville",95.896548,-119.4119622
"Dumas Municipal","Dumas",88.4547533,-91.53429111
"Early County","Blakely",39.69861131,-84.89525694
"Echo Bay","Overton",31.10897236,-114.4638672
"Elizabeth","Fishers Island",25.13080641,-72.03161139
"Elizabethton Municipal","Elizabethton",37.09430636,-82.17374111
"Eupora Municipal","Eupora",53.45658333,-89.31256917
"Eureka","Eureka",60.41666739,-116.0050597
"Finger Lakes Regional","Seneca Falls",88.06227842,-76.78162028
"Fitch H Beach","Charlotte",57.45086142,-84.81143139
"Florala Municipal","Florala",4.24736131,-86.31156111
